URL,Size,Outlinks_size,content-type
https://www.c-span.org/classroom/document/?7576,13509,72,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=30&sort=Most%2BRecent%2BAiring,74681,96,text/html; charset=UTF-8
https://www.c-span.org/series/browse/,40111,91,text/html; charset=UTF-8
https://www.c-span.org/series/?presidents,40310,70,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7573,12910,71,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7422,12432,67,text/html; charset=UTF-8
https://www.c-span.org/networks/,32202,67,text/html; charset=UTF-8
https://www.c-span.org/about/history/,35575,60,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7574,12666,69,text/html; charset=UTF-8
https://www.c-span.org/about/milestones/,69100,101,text/html; charset=UTF-8
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=5698,75599,96,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=76,40982,106,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=30&sort=Trending,62060,96,text/html; charset=UTF-8
https://www.c-span.org/series/?campaign2016,88692,190,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=47,40236,106,text/html; charset=UTF-8
https://www.c-span.org/classroom/register/,23932,70,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7593,13905,73,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7726,14006,74,text/html; charset=UTF-8
https://www.c-span.org/executiveBranch/,54892,126,text/html; charset=UTF-8
https://www.c-span.org/series/?historyBookshelf,43707,84,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=77,37859,107,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=5698,65923,97,text/html; charset=UTF-8
https://www.c-span.org/search/?cspan_created%5B%5D=0&edate&sdate&searchtype=Clips&sort=Newest,58135,95,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=48,40558,106,text/html; charset=UTF-8
https://www.c-span.org/event/?440146%2Foral-histories-katherine-westmoreland-west-point-interview,30315,57,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=74,39445,106,text/html; charset=UTF-8
https://www.c-span.org/search/?edate=02%2F20%2F2018&featured%5B%5D=1&sdate=02%2F01%2F2017&searchtype=Clips&sort=Newest,61673,96,text/html; charset=UTF-8
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7592,12432,67,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=45,40000,106,text/html; charset=UTF-8
https://www.c-span.org/supremeCourt/,51538,112,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26sort%3DMost%2520Popular%26tagid%255B%255D%3D5709,36391,57,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=70&sort=Most%2BRecent%2BAiring,75697,93,text/html; charset=UTF-8
https://www.c-span.org/about/privacy/,36568,54,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=75,39971,106,text/html; charset=UTF-8
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=1069,74547,96,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=46,40301,107,text/html; charset=UTF-8
https://www.c-span.org/special/?camerasInTheCourt,30361,55,text/html; charset=UTF-8
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=70&sort=Trending,63159,95,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7725,14293,74,text/html; charset=UTF-8
https://www.c-span.org/series/?communicators,41205,76,text/html; charset=UTF-8
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=5709,57628,70,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7722,14104,74,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?topicids%5B%5D=72,40215,104,text/html; charset=UTF-8
https://www.c-span.org/about/videoLibrary/,31455,54,text/html; charset=UTF-8
https://www.c-span.org/series/?citiesTour,44451,61,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7689,14333,74,text/html; charset=UTF-8
https://www.c-span.org/classroom/search/?show100&topicids%5B%5D=59,134164,262,text/html; charset=UTF-8
https://www.c-span.org/about/leadership/,47312,69,text/html; charset=UTF-8
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fahtv,36228,56,text/html; charset=UTF-8
https://www.c-span.org/classroom/document/?7720,14322,74,text/html; charset=UTF-8
