URL,Status Code
https://www.c-span.org/video/?c4714538%2Frep-dave-reichert-discusses-lymphedema-treatment-sec-azar,301
https://www.c-span.org/video/?434699-1%2Fsaving-slave-houses-project,301
https://www.c-span.org/video/?c4714666%2Fsen-cardin-secretary-mnuchin-discuss-fy2019-funding-cdfi-fund,301
https://www.c-span.org/video/?440587-6%2Fbible-founding-american-constitutional-republic,301
https://www.c-span.org/classroom/search/?topicids%5B%5D=45,200
https://www.c-span.org/video/?c4714604%2Fwyden-nra,301
https://www.c-span.org/supremeCourt/,200
https://www.c-span.org/search/?edate=02%2F20%2F2018&featured%5B%5D=1&sdate=02%2F01%2F2017&searchtype=Clips&sort=Newest,200
https://www.c-span.org/video/?c4714607%2Fmepp-exchange-brown-mnuchin,301
https://www.c-span.org/event/?440146%2Foral-histories-katherine-westmoreland-west-point-interview,200
https://www.c-span.org/video/?c4714545%2Fmulvaney-parade,301
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=70&sort=Most%2BRecent%2BAiring,200
https://www.c-span.org/video/?c4714406%2Fsen-jeff-merkley-him,301
https://www.c-span.org/video/?c4714611%2Fvan-hollen,301
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7592,200
https://www.c-span.org/video/?c4714504%2Fwhite-house-budget-director-mick-mulvaney-explains-priorities-president-trumps-budget,301
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=1069,200
https://www.c-span.org/classroom/search/?topicids%5B%5D=75,200
https://www.c-span.org/video/?c4714544%2Frep-adrian-smith-addresses-durable-medical-equipment-bid-program-reimbursement,301
https://www.c-span.org/video/?c4714389%2Fgraham-state-dept,301
https://www.c-span.org/classroom/search/?topicids%5B%5D=46,200
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips%26sort%3DMost%2520Popular%26tagid%255B%255D%3D5709,200
https://www.c-span.org/controllers/follow/?tag%2F1069,302
https://www.c-span.org/video/?c4714421%2Fsanders-rips-mulvaney-trump-budget,301
https://www.c-span.org/video/?441244-2%2Fwashington-journal-news-headlines-viewer-calls,301
https://www.c-span.org/about/privacy/,200
https://www.c-span.org/video/?429257-1%2Ffranklin-d-roosevelts-top-cottage,301
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=70&sort=Trending,200
https://www.c-span.org/video/?441244-4%2Fwashington-journal-craig-shirley-discusses-ronald-reagans-influence-presidency,301
https://www.c-span.org/video/?436252-1%2F1880s-american-anarchist-movement,301
https://www.c-span.org/video/?441233-1%2Fhouse-intel-committee-contempt-proceedings-steve-bannon,301
https://www.c-span.org/classroom/search/?topicids%5B%5D=72,200
https://www.c-span.org/video/?433765-1%2Fdrafting-us-constitution,301
https://www.c-span.org/video/?441242-2%2Fwashington-journal-news-headlines-viewer-calls,301
https://www.c-span.org/special/?camerasInTheCourt,200
https://www.c-span.org/video/?439489-1%2Falexander-hamiltons-fiscal-responsibility,301
https://www.c-span.org/classroom/document/?7725,200
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=5709,200
https://www.c-span.org/video/?440682-1%2Fgeorge-masons-gunston-hall,301
https://www.c-span.org/series/?communicators,200
